production_companies_id,production_companies_name
59566,Skyhook Productions
52896,Choke Film
11924,Casa Kafka Pictures
83384,Paprika Production
44227,IN Entertainment
48699,Lockheed Martin Corporation
40980,HBO NYC Productions
5901,Atlantik Film
22110,First Foot Films
42786,Hypotenuse Films
66650,D'Antoni/Weitz Productions
88138,Bright Eye Pictures
22050,Shadow Lane
29491,Harrington Talents
18970,Avalon Productions
2363,Cold Spring Pictures
10740,Producers Representative Organization
7505,Marvel Entertainment
2993,Bright-Persky Associates
85573,Agosto la Película
95801,Let it Snow Productions
495,EDI
19234,Crystalcreek Ltd.
18866,Red Line Films
78489,movistar+
6857,Steam Motion & Sound
68026,Studio Filmowe Oko
19097,Junction Entertainment
20041,Theatrofilm
68624,KSM
11248,Programme MEDIA de la Communauté Européenne
22606,Pacific Films
13746,GBM Productions
2486,Iéna Productions
16610,Distant Dreams Filmproduktion
79171,RGV Film Factory
76923,Avventurosa
23820,Visto International Inc.
86625,Sateenkaarifilmi Oy
7575,Palladium
27357,Flat Black Films
71171,The Shuman Company
92137,Dead Fiancée Productions
14111,Furie Productions
2541,d.i.e.film
13339,Platforma Filma
73674,Jed Buell Productions
14403,Connaught Productions
45955,David Paradine Productions
38367,Brigadier Pictures
14197,British National Films
7580,Kanbar Entertainment
42243,"Zespol Filmowy ""Kamera"""
22512,Arlington Road Productions Corporation
18339,E-K-Corporation
80996,WRA Productions
28955,Roser Film
208,Bac Films
27196,Ciné B
68053,Nisarga
80711,3ality Digital Entertainment
48430,Monoo
23163,Omnibus-Biography Productions
19729,Zion Meyers Productions
23587,Screenland Pictures
69903,Colour Yellow Pictures
78370,La Canica Films
25927,FTG Media
16414,The Cannon Group
80604,Green Door Pictures
14734,Oren Peli / Brian Witten Pictures
32877,Shoestring Pictures
3639,Whamaphram Productions
12176,Little Gaddesden Productions
93815,Hummel & Nimbus AS
31183,BBC Two
81138,Studiopolis
6161,Victor Solnicki Productions
87875,Music On!
2419,Katzka-Berne Productions
7013,Hunnia Filmstúdió
80927,HC Films
61623,Chicago Entertainment Partners
19020,Ecole Nationale Supérieure des Arts Décoratifs
83452,Jaffe / Braunstein Entertainment
65585,Marcel/Robertson Productions Limited
29133,Bremedia Produktion
10602,Pacific Productions
3855,New Upstairs Productions
73634,Silver Screen
2117,D.R.M. Productions
58331,Franklin/Waterman Productions
6348,Be-Wild
22224,Epica Ltd.
1001,Solaris Film
55284,Tantan Films
8943,Graal
27404,Supinfocom Arles
22321,Transmar Films
78476,REDLABdigital
12095,Save Ferris Entertainment
79438,Ossane
8102,Working Title Television
73695,Kinos Seqtsia
12365,Brownstone Productions
34846,Tee Rob Pictures
19960,Great Wight Productions/ Osford Films
1876,RM Films International
84751,Endemol Shine Studios
750,Ellepi Films
19643,"Sommers Company, The"
2090,Motion Picture Corporation of America
2235,Desertlands Entertainment
37299,Excalibur Pictures
45138,Cagney-Montgomery Productions
8981,Conquering Lion Pictures
1768,Europa Films
84374,"EagleVision, Inc."
19264,Conseil Général de l'Aveyron
85739,Foundation Montecinema Verità
63095,Studio Rock
80485,Lone Wolf
26281,Ardustry Entertainment
3036,Walt Disney Studios Motion Pictures
54634,Mosaic
59359,ZDF / 3sat
1842,Sahara One Motion Pictures
8425,Marvin Schwartz Productions
89362,The Grade Company
2778,City Lights Pictures
15176,Robert M. Weitman Productions
8153,The
83441,Fuzzy Bunny Productions
56343,Ace Film Company
71072,X-Ray Films
7643,France Télévision Images 2
52011,The Wild Party Production Company
15184,Overdose Joint
76002,General Pictures
63751,Sidéral Productions
53696,The Where's Poppa Company
84232,Neutrinos Productions
39617,Royal
7261,Back Allie Productions
4111,The Harold Lloyd Corporation
23808,Price Entertainment
9058,Alcina
1316,Monterey Productions
53260,Dandelion Entertainment Ventures
21881,Abduction Films
12784,Orient Express
10926,Pacifica Film
28230,DeMille Pictures Corporation
62876,Ciné Lyre
57340,Ardent Productions
90406,Inxpo Onnico Oy
12251,Stephen Bowen Productions
7630,MFG-Film
7863,Mundial Film
17091,BB Films
24176,"Furia de Titanes II, A.I.E."
16612,Stopline Films
93496,Credit Lyonnais
86422,Fiore Group
94650,Way Out Company
20475,GH One
47044,Feijão Filmes
12968,Baumgarten-Prophet Entertainment
27456,Faros Film
41606,Backrow Studios
22105,LightTower Entertainment
8922,Turner Entertainment
1596,Shooting Gallery
13582,Tisch/Avnet Productions Inc.
11198,Few
8420,Veterans
80880,InCA Productions
83524,Cinéventure
3225,Every Guy Productions
94985,Bulut Film
93190,Cineluz - Produções Cinematográficas Lda.
2706,Galliano Iuso per Digital Film
5433,Cine Pantera
87783,Eden Roc Productions
70358,Films A. Legrand
89818,Wildgaze
28514,Dunav Film
69028,Clear Lake Entertainment
8531,Versátil Cinema
1512,John Wells Productions
17196,Carlton Films
3132,Vlaams Audiovisueel fonds
15283,Coolmore Productions
55318,Thousand Miles Entertainment
18387,Alba Produzioni
11337,Motel Movies
1828,Allfin A.G.
19026,Corfo
26811,Delfilm
4748,Oscilloscope Laboratories
57780,eOne Entertainment
13898,RVML Animation
21927,Strange Matter Films
43636,Dionysio Cinematografica
17926,Rainfall Films
36549,Gold-Gems Ltd.
1678,Fox Family Channel
55019,Fir and Cedar
64451,Pee Wee Pictures
32178,Aurora
7751,Marimark
50813,Hernández y Fernández Producciones Cinematográficas
71496,Future Films
84483,Scotts Atlantic
9303,Shintoho Film Distribution Committee
85451,Blackbox Film
80522,Jock Gaynor Productions
5891,Cecchi Gori Group
16750,Paisley Park Films
7247,Bavaria Filmverleih- und Produktions GmbH
8266,Pampas Produktion
51188,Rob Heydon Productions
22141,Film Investment Piedmont (FIP)
72149,ITN Films
11918,Animationsfabrik
1438,Quadra Entertainment
31527,Sat 1
26197,Skyscraper Films
77171,AGI Entertainment
13773,Alberta Filmworks
6921,Memento Films Distribution
21972,Media Programme of the European Community
11747,Prime Universe Productions
76935,Château-Rouge Production
18087,Michael Myerberg
60265,Blackmrkt Incorporated
52986,Alamdary
11581,Misher Films
77864,Robin Films
6780,Televisión Española TVE
2380,Palomar Pictures
93110,Indeed films
93012,Production Inc
48106,World Wide Pictures (WWP)
1,Lucasfilm
30576,Ima Films
1620,Nuyorican Productions
10481,Jolly Film
8632,Screen Tasmania
48490,Chadwick Pictures Corporation
5521,CP Medien AG
93221,Produções Cinematográficas Meta
76266,Oriental DreamWorks
24157,SLS Video Productions
93603,RV Camping Productions Ltd.
8890,Wessler Entertainment
42621,SF Film Finland Oy
4206,Baa-Ram-Ewe
73883,Superbe Films
121,Y3 Film
6347,Asahi Hoso
29223,Ministero per i Beni e le Attività Culturali (MiBAC)
5688,Xi'an Qujian Film &  TV Investment Group Company
51254,Not a Number
3897,"Keli Herd Film Company, Inc"
2535,Bananeira Filmes
71238,Mercury Pictures
11580,Cross Country
20664,Anton Capital Entertainment (ACE)
45792,Lomax Productions
22178,M.D.G. Productions
38925,CBS Fox Video
3816,Wadleigh-Maurice
21043,Media Entertainment GmbH
24093,Lab4 Productions
2784,Rubicon Film AS
32182,That's Nice Films
1757,Mad Chance
61617,Cinépol
3082,Kino video
29269,Orgon Films
89203,Cinema Revival
60286,Cinema 21 Group
53077,Wonderspun
94967,Yeşilçam Film
12008,Misha Films
73928,Relic Pictures
71170,The Cantillon Company
3468,Hal Wallis Productions
4743,Mascot Pictures
40769,Sanford/Pillsbury Productions
21583,Jam Productions
11136,Trinity Pictures
3768,Off Hollywood Pictures
81074,Sohail Khan Productionz
24783,Temple Street Productions
5892,Buena Vista International
74880,Lithuanian Film Studios
36676,Interscope
39281,EchoLight Studios
68038,Film Media S.A.
3086,Image Entertainment
93933,SoulPsychoKiller
24338,Brookdale Productions
55540,Objektív Film
8480,Luiz Augusto Mendes Produções Cinematográficas
48456,Triangle British Films
74065,Dugong Films
3998,Nora NL Productions
4216,Alliance Productions
85509,Master Movies
69825,New Chapter Productions
53458,Lakeshore International
10568,Pennebaker Productions
